Ind,Spare,Gender,Age
1,1,1,1
2,0,0,2
5,0,1,0
6,1,0,2
7,1,0,1
8,0,1,0
9,1,1,1
10,0,0,2
11,1,1,1
12,0,0,0
13,1,1,1
14,0,0,0
17,1,1,1
18,0,0,2
19,0,0,1
20,1,1,2
21,0,1,1
22,1,0,2
23,0,0,0
24,1,1,2
25,0,1,1
26,1,0,2
27,0,1,0
28,1,0,2
29,0,0,1
30,1,1,2
31,0,1,1
32,1,0,2
35,0,0,1
36,1,1,2
37,1,1,1
38,0,0,0
41,0,1,1
42,1,0,2
43,0,1,0
44,1,0,2
47,1,1,1
48,0,0,2
49,1,0,1
50,0,1,0
51,1,1,1
52,0,0,0
53,1,0,1
54,0,1,0
55,0,0,0
56,1,1,2
57,1,1,1
58,0,0,0
59,1,0,0
60,0,1,2
61,0,0,0
62,1,1,2
63,0,0,0
64,1,1,2
65,0,1,0
66,1,0,2
67,0,0,1
68,1,1,2
69,0,1,1
70,1,0,0
71,0,1,0
72,1,0,2
73,0,0,0
74,1,1,2
75,0,0,1
76,1,1,2
77,1,1,1
78,0,0,0
79,1,1,1
80,0,0,0
81,1,0,1
82,0,1,0
83,1,1,1
84,0,0,0
85,0,1,0
86,1,0,2
87,1,0,1
88,0,1,2
89,0,1,1
90,1,0,2
91,0,0,1
92,1,1,2
93,0,0,1
94,1,1,0
95,0,0,0
96,1,1,2
97,0,1,0
98,1,0,2
99,0,0,0
100,1,1,2
101,0,1,0
102,1,0,2
103,0,0,0
104,1,1,2
105,0,0,1
106,1,1,2
107,0,0,0
108,1,1,2
